mv,sp,pv,ce,pe
20.84962624400221,10000,9999.4394,0.5606000000007043,0.5606000000007043
20.84962624400221,10000,9999.4394,0.5606000000007043,0.5606000000007043
20.84968468550457,10000,9999.52067,0.47933000000011816,0.47933000000011816
20.849784624298174,10000,9999.65963,0.3403699999998935,0.3403699999998935
20.849820107504137,10000,9999.70897,0.291030000000319,0.291030000000319
20.849789767888407,10000,9999.66679,0.33321000000069034,0.33321000000069034
20.849789767888407,10000,9999.66679,0.33321000000069034,0.33321000000069034
20.849859241472892,10000,9999.76339,0.23660999999992782,0.23660999999992782
20.849883907898867,10000,9999.79769,0.20231000000057975,0.20231000000057975
20.849904998598934,10000,9999.82702,0.1729799999993702,0.1729799999993702
20.849904998598934,10000,9999.82702,0.1729799999993702,0.1729799999993702
20.849904998598934,10000,9999.82702,0.1729799999993702,0.1729799999993702
20.8498869655161,10000,9999.80194,0.1980600000006234,0.1980600000006234
20.849928260802223,10000,9999.85937,0.1406299999998737,0.1406299999998737
20.849957582056337,10000,9999.90014,0.09986000000026252,0.09986000000026252
20.84997840282398,10000,9999.92909,0.07091000000036729,0.07091000000036729
20.849985795183823,10000,9999.93937,0.06062999999994645,0.06062999999994645
20.84999843653021,10000,9999.95695,0.04305000000022119,0.04305000000022119
20.850007412454538,10000,9999.96943,0.03057000000080734,0.03057000000080734
20.85001059937817,10000,9999.97386,0.02613999999994121,0.02613999999994121
20.850013324474556,10000,9999.97765,0.022349999999278225,0.022349999999278225
20.850015654463544,10000,9999.98089,0.019109999999272986,0.019109999999272986
20.850019638901536,10000,9999.98643,0.013569999999162974,0.013569999999162974
20.850021053575368,10000,9999.9884,0.011599999999816646,0.011599999999816646
20.85002226287659,10000,9999.99008,0.00992000000042026,0.00992000000042026
20.850024331198796,10000,9999.99296,0.007040000000415603,0.007040000000415603
20.850025065119652,10000,9999.99398,0.006020000000717118,0.006020000000717118
20.850025692705408,10000,9999.99485,0.005150000000867294,0.005150000000867294
20.85002622959357,10000,9999.9956,0.004399999999805004,0.004399999999805004
20.850026688294147,10000,9999.99624,0.0037599999996018596,0.0037599999996018596
