cv,sp,pv,ce,pe
2.886649999999999,10000,5731.83456,4268.16544,4268.16544
2.905909999999999,10000,5949.02688,4050.9731199999997,4050.9731199999997
2.9243099999999993,10000,6162.92917,3837.0708299999997,3837.0708299999997
2.941849999999999,10000,6372.80394,3627.19606,3627.19606
2.958529999999999,10000,6577.9175,3422.0825000000004,3422.0825000000004
2.9743499999999994,10000,6777.54363,3222.45637,3222.45637
2.9893299999999994,10000,6971.22891,3028.77109,3028.77109
3.003469999999999,10000,7158.2907,2841.7093000000004,2841.7093000000004
3.016809999999999,10000,7338.60955,2661.39045,2661.39045
3.029349999999999,10000,7511.5721,2488.4278999999997,2488.4278999999997
3.029349999999999,10000,7511.5721,2488.4278999999997,2488.4278999999997
3.017569999999999,10000,7348.99618,2651.00382,2651.00382
3.0300699999999994,10000,7521.60581,2478.39419,2478.39419
3.0418099999999995,10000,7686.80327,2313.1967299999997,2313.1967299999997
3.0528099999999996,10000,7844.33741,2155.66259,2155.66259
3.0630899999999994,8550.18177,7993.99783,556.183939999999,556.183939999999
3.0599699999999994,8550.18177,7948.32481,601.8569599999992,601.8569599999992
3.0566099999999996,8550.18177,7899.38329,650.7984799999995,650.7984799999995
3.0602499999999995,8550.18177,7952.41471,597.7670599999992,597.7670599999992
3.0635899999999996,8550.18177,8001.33764,548.8441299999995,548.8441299999995
3.0635899999999996,8550.18177,8001.33764,548.8441299999995,548.8441299999995
3.0605099999999994,8550.18177,7956.21406,593.967709999999,593.967709999999
3.0638299999999994,8550.18177,8004.86275,545.319019999999,545.319019999999
3.0668899999999994,8550.18177,8049.92217,500.2595999999994,500.2595999999994
3.0696899999999996,8550.18177,8091.3391,458.8426699999991,458.8426699999991
3.0722699999999996,8550.18177,8129.6598,420.5219699999989,420.5219699999989
3.0699099999999997,8550.18177,8094.60084,455.58092999999917,455.58092999999917
3.0724699999999996,8550.18177,8132.63674,417.5450299999993,417.5450299999993
3.07013,8550.18177,8097.86368,452.31808999999885,452.31808999999885
3.07267,8550.18177,8135.61459,414.5671799999991,414.5671799999991
3.07499,8550.18177,8170.22452,379.9572499999995,379.9572499999995
3.07713,8550.18177,8202.25853,347.9232400000001,347.9232400000001
3.07909,8550.18177,8231.69039,318.4913799999995,318.4913799999995
3.07729,8550.18177,8204.65782,345.5239499999989,345.5239499999989
3.07923,8550.18177,8233.79605,316.3857199999984,316.3857199999984
3.08101,8550.18177,8260.60737,289.5743999999995,289.5743999999995
3.08265,8550.18177,8285.37467,264.8071,264.8071
3.08265,8550.18177,8285.37467,264.8071,264.8071
3.08415,8550.18177,8308.08214,242.0996299999988,242.0996299999988
3.08551,8550.18177,8328.71532,221.4664499999999,221.4664499999999
3.08551,8550.18177,8328.71532,221.4664499999999,221.4664499999999
3.0867500000000003,8550.18177,8347.56533,202.61643999999978,202.61643999999978
3.0856100000000004,8550.18177,8330.23416,219.94760999999926,219.94760999999926
3.0856100000000004,8550.18177,8330.23416,219.94760999999926,219.94760999999926
3.0868500000000005,8550.18177,8349.08705,201.09471999999914,201.09471999999914
3.0879900000000005,8550.18177,8366.45109,183.73067999999876,183.73067999999876
3.0890300000000006,8550.18177,8382.31835,167.86341999999968,167.86341999999968
3.0899700000000005,8550.18177,8396.68161,153.5001599999996,153.5001599999996
3.0908300000000004,8550.18177,8409.84053,140.34123999999974,140.34123999999974
3.0904300000000005,8550.18177,8403.71795,146.46381999999903,146.46381999999903
3.0912500000000005,8550.18177,8416.27326,133.9085099999993,133.9085099999993
3.0920100000000006,8550.18177,8427.92391,122.25785999999971,122.25785999999971
3.0913100000000004,8550.18177,8417.19255,132.98921999999948,132.98921999999948
3.0920700000000005,8550.18177,8428.84427,121.33749999999964,121.33749999999964
3.0927500000000006,8550.18177,8439.28095,110.90081999999893,110.90081999999893
3.0927500000000006,8550.18177,8439.28095,110.90081999999893,110.90081999999893
3.0933700000000006,8550.18177,8448.80618,101.37558999999965,101.37558999999965
3.0933700000000006,8550.18177,8448.80618,101.37558999999965,101.37558999999965
3.0939500000000004,8550.18177,8457.72504,92.45672999999988,92.45672999999988
3.0944700000000003,8550.18177,8465.72796,84.45380999999907,84.45380999999907
3.0949500000000003,8550.18177,8473.12091,77.0608599999996,77.0608599999996
3.0953900000000005,8550.18177,8479.90253,70.27923999999985,70.27923999999985
3.0953900000000005,8550.18177,8479.90253,70.27923999999985,70.27923999999985
3.0957900000000005,8550.18177,8486.07158,64.11018999999942,64.11018999999942
3.0961500000000006,8550.18177,8491.62695,58.55481999999938,58.55481999999938
3.0964900000000006,8550.18177,8496.87648,53.30528999999842,53.30528999999842
3.096790000000001,8550.18177,8501.51068,48.67108999999982,48.67108999999982
3.097070000000001,8550.18177,8505.83784,44.34392999999909,44.34392999999909
3.097330000000001,8550.18177,8509.85757,40.32419999999911,40.32419999999911
3.0971100000000007,8550.18177,8506.45615,43.72561999999925,43.72561999999925
3.0973500000000005,8550.18177,8510.16685,40.01491999999962,40.01491999999962
3.0971300000000004,8550.18177,8506.76533,43.41643999999906,43.41643999999906
3.09737,8550.18177,8510.47613,39.70564000000013,39.70564000000013
3.0975900000000003,8550.18177,8513.87889,36.30287999999928,36.30287999999928
3.0977900000000003,8550.18177,8516.9733,33.20846999999958,33.20846999999958
3.09797,8550.18177,8519.75908,30.42268999999942,30.42268999999942
3.0977900000000003,8550.18177,8516.9733,33.20846999999958,33.20846999999958
3.09797,8550.18177,8519.75908,30.42268999999942,30.42268999999942
3.09788,8550.18177,8518.36609,31.815679999999702,31.815679999999702
3.09806,8550.18177,8521.15225,29.029520000000048,29.029520000000048
3.09806,8550.18177,8521.15225,29.029520000000048,29.029520000000048
3.09822,8550.18177,8523.62948,26.55228999999963,26.55228999999963
3.09838,8550.18177,8526.1073,24.074469999999565,24.074469999999565
3.09831,8550.18177,8525.02318,25.158589999999094,25.158589999999094
3.09845,8550.18177,8527.19154,22.99022999999943,22.99022999999943
3.09859,8550.18177,8529.36037,20.821399999998903,20.821399999998903
3.09871,8550.18177,8531.21973,18.962039999998524,18.962039999998524
3.0988100000000003,8550.18177,8532.76946,17.412309999999707,17.412309999999707
3.0989100000000005,8550.18177,8534.31942,15.862349999999424,15.862349999999424
3.0989900000000006,8550.18177,8535.55956,14.62220999999954,14.62220999999954
3.0990700000000007,8550.18177,8536.79985,13.381919999999809,13.381919999999809
3.0991500000000007,8550.18177,8538.04029,12.14147999999841,12.14147999999841
3.0991200000000005,8550.18177,8537.57511,12.606659999999465,12.606659999999465
3.0990800000000007,8550.18177,8536.9549,13.226869999998598,13.226869999998598
3.099160000000001,8550.18177,8538.19536,11.986409999999523,11.986409999999523
3.0992200000000008,8550.18177,8539.12581,11.055959999999686,11.055959999999686
3.0992800000000007,8550.18177,8540.05634,10.125430000000051,10.125430000000051
3.0993400000000007,8550.18177,8540.98695,9.1948199999988,9.1948199999988
3.0993400000000007,8550.18177,8540.98695,9.1948199999988,9.1948199999988
3.0994000000000006,8550.18177,8541.91765,8.26411999999982,8.26411999999982
3.0994400000000004,8550.18177,8542.53816,7.643609999999171,7.643609999999171
3.0994800000000002,8550.18177,8543.15872,7.023049999999785,7.023049999999785
3.09952,8550.18177,8543.77931,6.402459999999337,6.402459999999337
3.09956,8550.18177,8544.39993,5.781839999999647,5.781839999999647
3.0995999999999997,8550.18177,8545.0206,5.161169999999402,5.161169999999402
3.09962,8550.18177,8545.33094,4.850829999999405,4.850829999999405
3.09964,8550.18177,8545.6413,4.540469999999914,4.540469999999914
3.09966,8550.18177,8545.95167,4.230099999998856,4.230099999998856
3.09966,8550.18177,8545.95167,4.230099999998856,4.230099999998856
3.09968,8550.18177,8546.26204,3.9197299999996176,3.9197299999996176
3.0997000000000003,8550.18177,8546.57243,3.609339999999065,3.609339999999065
3.0997200000000005,8550.18177,8546.88282,3.298949999998513,3.298949999998513
3.0997400000000006,8550.18177,8547.19322,2.988550000000032,2.988550000000032
3.0997600000000007,8550.18177,8547.50364,2.6781299999984185,2.6781299999984185
3.0997600000000007,8550.18177,8547.50364,2.6781299999984185,2.6781299999984185
3.099780000000001,8550.18177,8547.81406,2.367709999998624,2.367709999998624
3.0997600000000007,8550.18177,8547.50364,2.6781299999984185,2.6781299999984185
3.099780000000001,8550.18177,8547.81406,2.367709999998624,2.367709999998624
3.099800000000001,8550.18177,8548.12449,2.057279999999082,2.057279999999082
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
3.099820000000001,8550.18177,8548.43493,1.7468399999997928,1.7468399999997928
