cv,sp,pv,ce,pe
1.4116699999999998,150,93.40337,56.596630000000005,56.596630000000005
1.4199899999999999,150,95.07598,54.92402,54.92402
1.4281099999999998,150,96.73609,53.263909999999996,53.263909999999996
1.4360299999999997,150,98.38204,51.61796,51.61796
1.4437499999999996,150,100.01216,49.987840000000006,49.987840000000006
1.4287099999999997,150,96.85986,53.14014,53.14014
1.4287099999999997,150,96.85986,53.14014,53.14014
1.4366199999999998,150,98.50572,51.49428,51.49428
1.44433,150,100.13567,49.864329999999995,49.864329999999995
1.45183,150,101.74586,48.25414000000001,48.25414000000001
1.45913,150,103.33676,46.66324,46.66324
1.45913,150,103.33676,46.66324,46.66324
1.44495,150,100.26785,49.732150000000004,49.732150000000004
1.45244,150,101.87791,48.12209,48.12209
1.45972,150,103.46636,46.533640000000005,46.533640000000005
1.45972,150,103.46636,46.533640000000005,46.533640000000005
1.45972,150,103.46636,46.533640000000005,46.533640000000005
1.4667999999999999,150,105.03371,44.96629,44.96629
1.4736699999999998,150,106.57605,43.423950000000005,43.423950000000005
1.4803399999999998,150,108.09396,41.906040000000004,41.906040000000004
1.4867999999999997,150,109.58352,40.41648000000001,40.41648000000001
1.4867999999999997,150,109.58352,40.41648000000001,40.41648000000001
1.4930599999999996,150,111.04539,38.95461,38.95461
1.4991199999999996,150,112.47802,37.52198,37.52198
1.5049799999999995,150,113.87987,36.12013,36.12013
1.5106399999999995,150,115.24941,34.75059,34.75059
1.5161099999999996,150,116.58762,33.41238,33.41238
1.5213899999999996,150,117.89311,32.10689000000001,32.10689000000001
1.5264799999999996,150,119.16455,30.835449999999994,30.835449999999994
1.5313799999999995,150,120.4006,29.599400000000003,29.599400000000003
1.5219399999999996,150,118.02989,31.970110000000005,31.970110000000005
1.5270099999999995,150,119.29767,30.702330000000003,30.702330000000003
1.5318899999999995,150,120.52993,29.470070000000007,29.470070000000007
1.5365899999999995,150,121.72794,28.272059999999996,28.272059999999996
1.5411199999999994,150,122.89309,27.10691,27.10691
1.5324199999999994,150,120.66447,29.335530000000006,29.335530000000006
1.5370999999999995,150,121.8586,28.141400000000004,28.141400000000004
1.5416099999999995,150,123.01974,26.98026,26.98026
1.5416099999999995,150,123.01974,26.98026,26.98026
1.5329499999999996,150,120.79916,29.20084,29.20084
1.5329499999999996,150,120.79916,29.20084,29.20084
1.5236299999999996,150,118.45108,31.548919999999995,31.548919999999995
1.5286399999999996,150,119.70795,30.292050000000003,30.292050000000003
1.5334599999999996,150,120.92889,29.071110000000004,29.071110000000004
1.5380999999999996,150,122.11517,27.884829999999994,27.884829999999994
1.5425699999999996,150,123.26822,26.73178,26.73178
1.5468699999999995,150,124.38696,25.613039999999998,25.613039999999998
1.5468699999999995,150,124.38696,25.613039999999998,25.613039999999998
1.5509999999999995,150,125.47034,24.529660000000007,24.529660000000007
1.5430799999999996,150,123.40042,26.599580000000003,26.599580000000003
1.5473599999999996,150,124.51504,25.48496,25.48496
1.5473599999999996,150,124.51504,25.48496,25.48496
1.5514699999999997,150,125.59418,24.405820000000006,24.405820000000006
1.5554099999999997,150,126.63682,23.36318,23.36318
1.5554099999999997,150,126.63682,23.36318,23.36318
1.5591999999999997,150,127.64732,22.352680000000007,22.352680000000007
1.5628299999999997,150,128.62216,21.377839999999992,21.377839999999992
1.5663099999999996,150,129.56317,20.436829999999986,20.436829999999986
1.5696399999999997,150,130.46958,19.530419999999992,19.530419999999992
